date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:00:30	6449/6449	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20May%202020%2017:40:09%20GMT	https://creazione.avanzare.co/gravity/demo/index.html?bg=gradient	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/indexf824.html	(from )
00:00:30	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Sep%202024%2018:30:31%20GMT	https://creazione.avanzare.co/robots.txt		(from )
00:00:30	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Thu,%2021%20May%202020%2017:40:10%20GMT	https://creazione.avanzare.co/gravity/demo/assets/favicon.ico	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/favicon.ico	(from https://creazione.avanzare.co/gravity/demo/index.html?bg=gradient)
00:00:31	211196/211196	---M--	200	added ('OK')	text/css	date:Thu,%2021%20May%202020%2017:40:10%20GMT	https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css	(from https://creazione.avanzare.co/gravity/demo/index.html?bg=gradient)
00:00:31	4810/4810	---M--	200	added ('OK')	image/png	etag:%2212ca-5a62c015f3825%22	https://creazione.avanzare.co/gravity/demo/assets/images/logo.png	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/images/logo.png	(from https://creazione.avanzare.co/gravity/demo/index.html?bg=gradient)
00:00:32	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Sep%202024%2018:30:33%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.eot	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
00:00:32	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Sep%202024%2018:30:33%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regulard41d.eot	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
00:00:32	265112/265112	---M--	200	added ('OK')	text/javascript	date:Thu,%2021%20May%202020%2017:40:16%20GMT	https://creazione.avanzare.co/gravity/demo/assets/js/xsg235t4r1r.js	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/js/xsg235t4r1r.js	(from https://creazione.avanzare.co/gravity/demo/index.html?bg=gradient)
00:00:33	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Sep%202024%2018:30:33%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.woff2	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
00:00:33	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Sep%202024%2018:30:34%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.woff	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
00:00:33	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Sep%202024%2018:30:34%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.ttf	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
00:00:33	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Sep%202024%2018:30:34%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.svg	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
00:00:34	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2021%20May%202020%2017:40:12%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/themify.eot	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/fonts/themify.eot	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
00:00:34	56108/56108	---M--	200	added ('OK')	font/woff	etag:%22db2c-5a62c01388d5f%22	https://creazione.avanzare.co/gravity/demo/assets/fonts/themify.woff	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/fonts/themify.woff	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
00:00:34	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2021%20May%202020%2017:40:12%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/themify.eot?	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/fonts/themifyd41d.eot	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
00:00:34	78584/78584	---M--	200	added ('OK')	font/ttf	date:Thu,%2021%20May%202020%2017:40:12%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/themify.ttf	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/fonts/themify.ttf	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
00:00:35	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2021%20May%202020%2017:40:11%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont3e6e.eot	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
00:00:35	234269/234269	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2021%20May%202020%2017:40:12%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/themify.svg?-fvbane	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/fonts/themify9f24.svg	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
00:00:36	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2021%20May%202020%2017:40:11%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfontd41d.eot	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
00:00:36	66624/66624	---M--	200	added ('OK')	font/woff2	etag:%2210440-5a62c012c7b9d%22	https://creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont3e6e.woff2	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
00:00:36	83588/83588	---M--	200	added ('OK')	font/woff	etag:%2214684-5a62c0128f12f%22	https://creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont3e6e.woff	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
00:00:36	142072/142072	---M--	200	added ('OK')	font/ttf	date:Thu,%2021%20May%202020%2017:40:11%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont3e6e.ttf	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
00:00:37	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Sep%202024%2018:30:37%20GMT	https://creazione.avanzare.co/gravity/demo/assets/css/overlays/02.png	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/css/overlays/02.png	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
00:00:37	78/78	---M--	200	added ('OK')	image/png	etag:%224e-5a62c01602292%22	https://creazione.avanzare.co/gravity/demo/assets/images/pattern.png	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/images/pattern.png	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
00:00:37	365616/365616	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2021%20May%202020%2017:40:11%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/newrayone/creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont3e6e.svg	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
